Name,Plot,Entry,Rep,Location,Planting Date (date),Protein (1st; %),Histidine (1st; %),Serine (1st; %),Arginine (1st; %),Glycine (1st; %),Aspartic acid (1st; %),Glutamic acid (1st; %),Threonine (1st; %),Alanine (1st; %),Proline (1st; %),Cysteine (1st; %),Lysine (1st; %),Tyrosine (1st; %),Methionine (1st; %),Valine (1st; %),Isoleucine (1st; %),Leucine (1st; %),Phenylalanine (1st; %),Tryptophan (1st; %),Sample Name (1st; text)
CDC Imax AGL,NA,8,1,"Rosthern, Canada",2016,30.40954,0.9406564,1.488736,2.0915,1.284948,3.612778,4.910028,1.150431,1.210722,1.211873,0.2551448,1.987434,0.8829025,0.2463443,1.450787,1.273311,2.197361,1.449663,0.2518519,16 ros 008
CDC Imax AGL,NA,8,1,"Sutherland, Canada",2016,31.08858,0.995947,1.509583,2.17874,1.27435,3.637485,4.983331,1.146621,1.208175,1.234449,0.2548514,2.002034,0.8870061,0.2382034,1.468626,1.293048,2.232656,1.477062,0.2526817,16 sut 008
CDC Impower AGL,NA,9,1,"Rosthern, Canada",2017,29.13566,0.8506728,1.451964,2.244577,1.172809,3.333898,4.597022,1.184126,1.155053,1.200615,0.2937534,1.855761,0.9154301,0.2715851,1.435635,1.255376,2.094856,1.451831,0.2357689,ros 9 sst who
CDC Impower AGL,NA,9,1,"Sutherland, Canada",2017,28.99632,0.9137324,1.442542,2.214934,1.169288,3.249151,4.532069,1.111386,1.210943,1.221252,0.2788281,1.852306,0.8938254,0.2616288,1.444767,1.259589,2.086713,1.452363,0.2318555,sut 9 sst who
CDC Impower AGL,NA,9,1,"Rosthern, Canada",2016,29.94299,1.037178,1.422171,2.060246,1.224908,3.457822,4.662744,1.103987,1.189327,1.227475,0.247754,1.874982,0.8467467,0.2381312,1.37165,1.225827,2.124066,1.403575,0.2442622,16 ros 009
CDC Impower AGL,NA,9,1,"Sutherland, Canada",2016,29.81586,1.153761,1.41498,2.00939,1.205079,3.349966,4.594823,1.06024,1.109734,1.193215,0.2352966,1.848543,0.8323579,0.2190067,1.343291,1.197128,2.092024,1.372882,0.2396782,16 sut 009
CDC KR-1 AGL,NA,10,1,"Rosthern, Canada",2017,25.91811,0.6725943,1.261478,1.933787,1.036947,2.855236,4.027238,1.072891,1.063728,1.124142,0.2649822,1.660558,0.7754538,0.2274209,1.268431,1.105321,1.871674,1.306621,0.2134342,ros 10 sst who
CDC KR-1 AGL,NA,10,1,"Sutherland, Canada",2017,27.12016,0.7951735,1.308001,2.043114,1.085713,2.989332,4.170723,1.082703,1.093677,1.166194,0.275684,1.690634,0.8095384,0.2400552,1.31321,1.140896,1.942324,1.353113,0.2205278,sut 10 sst who
CDC KR-1 AGL,NA,10,1,"Rosthern, Canada",2016,29.73848,0.9423773,1.418517,2.030083,1.174684,3.372861,4.635821,1.048009,1.236251,1.241461,0.2571591,1.929361,0.8307694,0.279059,1.387222,1.224931,2.120441,1.42106,0.2269196,16 ros 010
CDC KR-1 AGL,NA,10,1,"Sutherland, Canada",2016,28.60073,0.9834907,1.34681,1.954285,1.105491,3.191493,4.442738,0.999838,1.129523,1.172366,0.2479179,1.825247,0.7930027,0.2421359,1.316815,1.171927,2.014989,1.353063,0.2163507,16 sut 010
CDC LeMay AGL,NA,11,1,"Rosthern, Canada",2017,28.37162,0.7425151,1.393478,2.118462,1.106828,3.163877,4.509302,1.107773,1.148326,1.176567,0.2561014,1.85198,0.8361621,0.2537618,1.417177,1.227203,2.049267,1.42574,0.2221911,ros 11 sst who
CDC LeMay AGL,NA,11,1,"Sutherland, Canada",2017,28.2269,0.8144823,1.379566,2.124872,1.09025,3.027848,4.362022,1.098095,1.115184,1.168743,0.2631205,1.775549,0.8316441,0.2377785,1.389764,1.209644,2.011091,1.408732,0.2174033,sut 11 sst who
CDC LeMay AGL,NA,11,1,"Rosthern, Canada",2016,29.80044,0.8839577,1.440354,2.083176,1.149694,3.333882,4.689579,1.029798,1.169337,1.215242,0.241646,1.942791,0.8409931,0.2794518,1.414266,1.229271,2.128716,1.435625,0.2222615,16 ros 011
CDC LeMay AGL,NA,11,1,"Sutherland, Canada",2016,29.98742,0.9973734,1.430828,2.140411,1.12893,3.312877,4.705755,0.9996691,1.145251,1.210806,0.2420491,1.908339,0.8175436,0.251496,1.397241,1.237335,2.103072,1.4299,0.2175949,16 sut 011
CDC Maxim AGL,NA,12,1,"Rosthern, Canada",2017,27.58875,0.7345212,1.326036,2.069536,1.077544,3.132369,4.348938,1.138068,1.104248,1.157887,0.2606795,1.763186,0.8137898,0.2449932,1.333261,1.165229,1.976665,1.371168,0.2200623,ros 12 sst who
CDC Maxim AGL,NA,12,1,"Sutherland, Canada",2017,27.39621,0.7038908,1.310972,2.070177,1.087995,3.1006,4.262007,1.142367,1.097393,1.166313,0.2708034,1.714182,0.8157526,0.2507553,1.319741,1.148272,1.961596,1.360256,0.222627,sut 12 sst who
CDC Maxim AGL,NA,12,1,"Rosthern, Canada",2016,30.08156,0.9788758,1.429705,2.063405,1.214529,3.49771,4.638405,1.0276,1.23163,1.250347,0.2581782,1.866799,0.8109022,0.2278243,1.376381,1.240752,2.119674,1.409323,0.2449374,16 ros 012
CDC Maxim AGL,NA,12,1,"Sutherland, Canada",2016,26.65145,0.8648165,1.264618,1.688513,1.092901,3.051613,4.243254,1.022272,0.9883527,1.090489,0.2052326,1.743731,0.7448436,0.2196233,1.232847,1.095026,1.914325,1.253908,0.2109836,16 sut 012
CDC QG-1 AGL,NA,13,1,"Rosthern, Canada",2017,29.40702,0.9068511,1.446937,2.251972,1.149262,3.293289,4.638649,1.186818,1.16065,1.187397,0.272976,1.891128,0.8995005,0.2594211,1.445452,1.263836,2.101439,1.465337,0.2297627,ros 13 sst who
CDC QG-1 AGL,NA,13,1,"Sutherland, Canada",2017,29.23903,0.9029931,1.442287,2.238087,1.152503,3.256416,4.612333,1.17828,1.176799,1.199385,0.2697116,1.887059,0.898445,0.2616854,1.446075,1.25928,2.099118,1.466762,0.2284767,sut 13 sst who
CDC QG-1 AGL,NA,13,1,"Rosthern, Canada",2016,31.02439,1.001537,1.507042,2.169261,1.217213,3.49535,4.920284,1.094215,1.209437,1.251704,0.2582778,2.032024,0.8894016,0.2832527,1.47296,1.292559,2.231112,1.498432,0.2314802,16 ros 013
CDC QG-1 AGL,NA,13,1,"Sutherland, Canada",2016,30.93782,1.013297,1.498474,2.165516,1.191162,3.481152,4.858769,1.092366,1.200875,1.222527,0.265657,1.999438,0.8952625,0.2695065,1.452728,1.290641,2.185012,1.473746,0.2305774,16 sut 013
CDC Red Rider AGL,NA,14,1,"Rosthern, Canada",2017,29.8111,0.7699646,1.48305,2.370617,1.190727,3.507071,4.823153,1.225049,1.274659,1.252198,0.2917239,1.951497,0.9247292,0.2738473,1.484584,1.288082,2.175285,1.517081,0.2396217,ros 14 sst who
CDC Red Rider AGL,NA,14,1,"Sutherland, Canada",2017,28.2467,0.6949688,1.37307,2.166918,1.121564,3.310131,4.540574,1.161686,1.173,1.191939,0.2833624,1.838431,0.8632919,0.2656814,1.38944,1.208854,2.054414,1.424822,0.2271382,sut 14 sst who
CDC Red Rider AGL,NA,14,1,"Rosthern, Canada",2016,30.94482,0.9474445,1.497598,2.199828,1.227422,3.637898,4.966259,1.108444,1.25767,1.274775,0.2683017,2.030641,0.8852192,0.2820218,1.467214,1.284,2.227791,1.497224,0.240267,16 ros 014
CDC Red Rider AGL,NA,14,1,"Sutherland, Canada",2016,30.78145,0.8916907,1.488769,2.196399,1.18317,3.625291,4.90951,1.098036,1.237278,1.23578,0.2819284,2.004691,0.8843963,0.2732534,1.45286,1.288377,2.192566,1.47989,0.2334167,16 sut 014
CDC Redcoat AGL,NA,15,1,"Rosthern, Canada",2017,28.88556,0.8142626,1.404095,2.237051,1.131818,3.337035,4.617962,1.165295,1.16344,1.202555,0.2790018,1.853586,0.8668935,0.2562619,1.401987,1.222798,2.089301,1.442253,0.2279015,ros 15 sst who
CDC Redcoat AGL,NA,15,1,"Sutherland, Canada",2017,26.88517,0.7792265,1.297181,1.988665,1.043819,2.964148,4.189201,1.04928,1.09923,1.13102,0.2587815,1.737609,0.8022131,0.234812,1.306455,1.132213,1.920148,1.33763,0.2133961,sut 15 sst who
CDC Redcoat AGL,NA,15,1,"Rosthern, Canada",2016,29.27898,0.7574043,1.492857,2.018804,1.2033,3.481048,4.655877,1.037618,1.345759,1.240238,0.2882285,1.995131,0.8347015,0.2549471,1.46168,1.301152,2.165936,1.483526,0.2385522,16 ros 015
CDC Redcoat AGL,NA,15,1,"Sutherland, Canada",2016,30.68991,1.083896,1.455084,2.144533,1.168465,3.43195,4.791095,1.021239,1.18824,1.227306,0.2586613,1.955283,0.8528177,0.2521352,1.415335,1.254777,2.155999,1.448007,0.2267568,16 sut 015
CDC Redwing AGL,NA,16,1,"Rosthern, Canada",2017,29.33395,0.8445565,1.483601,2.255183,1.141698,3.356863,4.724436,1.163349,1.145312,1.178238,0.2751398,1.924376,0.880629,0.248108,1.45404,1.285009,2.118959,1.488163,0.2257826,ros 16 sst who
CDC Redwing AGL,NA,16,1,"Sutherland, Canada",2017,29.81927,0.8552409,1.495818,2.319422,1.157466,3.437438,4.822094,1.190033,1.177329,1.212768,0.2738141,1.950217,0.8985568,0.2585849,1.482549,1.307568,2.171478,1.520312,0.2282653,sut 16 sst who
CDC Redwing AGL,NA,16,1,"Rosthern, Canada",2016,30.59752,0.833167,1.516625,2.156661,1.18258,3.546651,4.926222,1.071707,1.273844,1.263251,0.2648632,2.042049,0.8697358,0.2827136,1.462503,1.308203,2.222791,1.506227,0.2219983,16 ros 016
CDC Redwing AGL,NA,16,1,"Sutherland, Canada",2016,30.96719,0.9999496,1.521014,2.185071,1.182819,3.544423,4.945821,1.060472,1.189311,1.21834,0.2664481,1.996615,0.8682097,0.261592,1.447581,1.303043,2.200675,1.48604,0.2277947,16 sut 016
CDC Robin AGL,NA,17,1,"Rosthern, Canada",2017,28.16338,0.7506403,1.383739,2.170966,1.101567,3.24881,4.467959,1.175722,1.118315,1.157143,0.2821827,1.821688,0.8586993,0.2521033,1.374564,1.193778,2.032613,1.415632,0.2237053,ros 17 sst who
CDC Robin AGL,NA,17,1,"Sutherland, Canada",2017,28.7601,0.7982968,1.408675,2.20579,1.102903,3.313584,4.574084,1.105773,1.164436,1.180653,0.2688586,1.875504,0.8389248,0.2469492,1.41706,1.22697,2.078337,1.446298,0.2223192,sut 17 sst who
CDC Robin AGL,NA,17,1,"Rosthern, Canada",2016,30.88439,0.9508138,1.504623,2.207946,1.214787,3.612878,4.91708,1.129175,1.238664,1.250607,0.2690508,2.023972,0.8846944,0.2898634,1.463247,1.278227,2.226653,1.499057,0.2319254,16 ros 017
CDC Robin AGL,NA,17,1,"Sutherland, Canada",2016,28.95313,0.9691201,1.406134,1.979572,1.131494,3.245692,4.560409,0.997028,1.145153,1.168309,0.2556702,1.893403,0.8330935,0.2603329,1.357255,1.19561,2.057657,1.392741,0.2189852,16 sut 017
CDC Rosebud AGL,NA,18,1,"Rosthern, Canada",2017,29.38383,0.8444185,1.470538,2.254402,1.167071,3.40907,4.741369,1.199585,1.160439,1.201386,0.2862604,1.933949,0.9026909,0.2711805,1.46042,1.275186,2.138441,1.495216,0.2320376,ros 18 sst who
CDC Rosebud AGL,NA,18,1,"Sutherland, Canada",2017,29.65129,0.8842127,1.453423,2.257934,1.165657,3.417258,4.71864,1.211032,1.20339,1.215793,0.2755932,1.942907,0.9009198,0.2723472,1.457109,1.272732,2.135916,1.490589,0.2320266,sut 18 sst who
CDC Rosebud AGL,NA,18,1,"Rosthern, Canada",2016,30.63089,0.9023362,1.498927,2.136875,1.197588,3.562697,4.841523,1.132606,1.235061,1.233751,0.2712409,2.031877,0.8882398,0.291042,1.451964,1.277146,2.198291,1.485873,0.2313574,16 ros 018
CDC Rosebud AGL,NA,18,1,"Sutherland, Canada",2016,30.8643,1.024354,1.502501,2.169255,1.171606,3.535047,4.850385,1.065519,1.168136,1.221959,0.274554,1.989648,0.8907961,0.2641432,1.451982,1.290771,2.176188,1.481557,0.2294719,16 sut 018
CDC Rosetown AGL,NA,19,1,"Rosthern, Canada",2017,28.86495,0.7814084,1.411967,2.224927,1.122105,3.252627,4.55126,1.171261,1.161422,1.185162,0.2756658,1.848398,0.8663138,0.2487623,1.415741,1.226665,2.074338,1.449981,0.2264608,ros 19 sst who
CDC Rosetown AGL,NA,19,1,"Sutherland, Canada",2017,27.81934,0.7147828,1.382103,2.077781,1.085319,3.147849,4.402404,1.096359,1.135253,1.150424,0.2651798,1.832665,0.8244476,0.2414708,1.383015,1.197762,2.019707,1.409212,0.2181453,sut 19 sst who
CDC Rosetown AGL,NA,19,1,"Rosthern, Canada",2016,29.29557,0.8965442,1.418358,1.956231,1.168295,3.309129,4.60362,1.032531,1.208241,1.200698,0.247964,1.93374,0.8305147,0.2810066,1.390338,1.215399,2.10435,1.411952,0.2253481,16 ros 019
CDC Rosetown AGL,NA,19,1,"Sutherland, Canada",2016,29.04261,0.9484549,1.402354,1.98897,1.11334,3.241802,4.543701,1.007313,1.144174,1.184162,0.2492297,1.893911,0.8124937,0.2473405,1.365967,1.201595,2.062315,1.400535,0.2158708,16 sut 019
CDC Rouleau AGL,NA,20,1,"Rosthern, Canada",2017,28.08401,0.8049219,1.341137,2.110993,1.116303,3.185484,4.458569,1.12568,1.154148,1.189464,0.2548642,1.790099,0.8473852,0.2603109,1.366229,1.185816,2.025931,1.389206,0.2251669,ros 20 sst who
CDC Rouleau AGL,NA,20,1,"Sutherland, Canada",2017,27.05375,0.8128453,1.288779,1.936336,1.05943,2.922532,4.182833,1.078132,1.110673,1.141449,0.2431519,1.733683,0.7954326,0.2387289,1.295051,1.125538,1.919031,1.322305,0.2146104,sut 20 sst who
CDC Rouleau AGL,NA,20,1,"Rosthern, Canada",2016,29.64454,0.9710769,1.409818,1.970794,1.149196,3.297143,4.633782,1.058227,1.197762,1.222569,0.2365194,1.926465,0.8239537,0.2705749,1.391753,1.223812,2.124002,1.417213,0.2227961,16 ros 020
CDC Rouleau AGL,NA,20,1,"Sutherland, Canada",2016,27.50914,0.858447,1.294489,1.769264,1.068751,3.042777,4.293802,0.9589879,1.094049,1.146964,0.2298095,1.775372,0.7667879,0.2478117,1.264539,1.124818,1.930986,1.287751,0.2109913,16 sut 020
CDC Royale AGL,NA,21,1,"Rosthern, Canada",2017,27.66838,0.8466395,1.346963,2.061684,1.101172,3.106117,4.355546,1.131682,1.10877,1.139313,0.2600322,1.793712,0.8211297,0.2462906,1.362615,1.190877,1.988887,1.384674,0.2186394,ros 21 sst who
CDC Royale AGL,NA,21,1,"Sutherland, Canada",2017,28.09112,0.8707201,1.364365,2.089469,1.102857,2.99392,4.294154,1.084633,1.09979,1.161778,0.2679735,1.759823,0.8308707,0.2356916,1.365491,1.189507,1.986046,1.389213,0.2206776,sut 21 sst who
CDC Royale AGL,NA,21,1,"Rosthern, Canada",2016,29.74553,0.9121397,1.439584,2.023703,1.186915,3.391268,4.647505,1.027343,1.299487,1.261088,0.2671072,1.968806,0.8234563,0.272768,1.426852,1.268279,2.15098,1.455984,0.2271362,16 ros 021
CDC Royale AGL,NA,21,1,"Sutherland, Canada",2016,29.06245,0.9887463,1.388531,1.960253,1.129098,3.220034,4.511311,0.9845126,1.140972,1.174936,0.2453667,1.87594,0.8151931,0.2512591,1.349224,1.1946,2.040474,1.369379,0.2190638,16 sut 021
CDC Ruby AGL,NA,22,1,"Rosthern, Canada",2017,29.77346,0.6966701,1.495092,2.294461,1.190837,3.541923,4.860908,1.269807,1.218782,1.20207,0.294659,1.963506,0.9035869,0.2715068,1.488932,1.296536,2.177437,1.512492,0.2393649,ros 22 sst who
CDC Ruby AGL,NA,22,1,"Sutherland, Canada",2017,27.23771,0.6526276,1.345322,2.012855,1.077211,3.095775,4.326644,1.142181,1.100088,1.124428,0.274895,1.767043,0.8135552,0.247109,1.34713,1.173935,1.977622,1.377631,0.2215153,sut 22 sst who
CDC Ruby AGL,NA,22,1,"Rosthern, Canada",2016,31.64368,0.9293195,1.538998,2.259972,1.253179,3.739464,5.068961,1.146879,1.296275,1.289627,0.2786808,2.058231,0.9012834,0.3012097,1.508333,1.326131,2.287502,1.532972,0.2415754,16 ros 022
CDC Ruby AGL,NA,22,1,"Sutherland, Canada",2016,30.41903,0.9401428,1.470369,2.102966,1.169178,3.436802,4.815493,1.051751,1.189156,1.209212,0.2646044,1.961864,0.8505231,0.2636554,1.424749,1.263059,2.155291,1.454342,0.2282222,16 sut 022
CDC SB-1 AGL,NA,23,1,"Rosthern, Canada",2017,26.17572,0.7799174,1.267707,1.925338,1.013162,2.995518,4.114537,1.056133,1.048927,1.112878,0.2582253,1.692969,0.7937841,0.2443765,1.256326,1.110106,1.877059,1.30338,0.2051039,ros 23 sst who
CDC SB-1 AGL,NA,23,1,"Sutherland, Canada",2017,25.56862,0.8150016,1.231813,1.839395,0.9781014,2.83363,3.908733,1.008439,1.013373,1.074748,0.2534187,1.630743,0.7632036,0.230662,1.210633,1.06858,1.798919,1.255823,0.200219,sut 23 sst who
CDC SB-1 AGL,NA,23,1,"Rosthern, Canada",2016,26.45319,0.7620447,1.284573,1.72271,1.02897,3.048259,4.163575,0.9390415,1.060151,1.126093,0.2441551,1.748106,0.7593158,0.2618536,1.23666,1.109454,1.902034,1.279537,0.1972836,16 ros 023
CDC SB-1 AGL,NA,23,1,"Sutherland, Canada",2016,29.39633,1.127621,1.384363,1.990492,1.097348,3.29808,4.48467,0.9615992,1.119978,1.183031,0.2462538,1.845209,0.8125973,0.2478865,1.338325,1.18374,2.02236,1.357966,0.2183692,16 sut 023
CDC Sedley AGL,NA,24,1,"Rosthern, Canada",2017,27.5209,0.8479258,1.358636,2.077184,1.087644,3.097049,4.348349,1.079862,1.102969,1.160943,0.2647969,1.785395,0.8480376,0.2466095,1.353799,1.193233,1.983604,1.387297,0.215676,ros 24 sst who
CDC Sedley AGL,NA,24,1,"Sutherland, Canada",2017,28.3671,0.93817,1.375733,2.152571,1.116411,3.152143,4.424229,1.079435,1.132713,1.193453,0.2675529,1.802188,0.864567,0.251893,1.372031,1.202498,2.018403,1.406402,0.2252081,sut 24 sst who
CDC Sedley AGL,NA,24,1,"Rosthern, Canada",2016,29.50343,0.8578584,1.473922,2.076504,1.191609,3.462423,4.680941,1.024969,1.31314,1.255444,0.2854585,1.957007,0.837687,0.2647029,1.452628,1.305061,2.167191,1.484483,0.2299775,16 ros 024
CDC Sedley AGL,NA,24,1,"Sutherland, Canada",2016,28.95717,1.014816,1.372482,1.987735,1.100341,3.181054,4.464412,0.984448,1.103339,1.183304,0.2494671,1.835668,0.8244498,0.2475016,1.330516,1.182294,2.013924,1.362479,0.2177383,16 sut 024
CDC Vantage AGL,NA,25,1,"Rosthern, Canada",2017,27.54606,0.7459561,1.361815,2.033003,1.120909,3.134787,4.348334,1.164377,1.154894,1.164946,0.2745087,1.825943,0.8682494,0.2673885,1.355947,1.186788,1.988056,1.386067,0.2240088,ros 25 sst who
CDC Vantage AGL,NA,25,1,"Sutherland, Canada",2017,27.72624,0.7763543,1.329647,2.034652,1.106749,3.119476,4.332709,1.190616,1.155362,1.169909,0.2676227,1.812472,0.8705916,0.2710244,1.338905,1.175409,1.974944,1.3768,0.2214745,sut 25 sst who
