"Entry","Name","Source","CollDate","Lat","Lon","Origin","Region","DTF_Cluster","CotyledonColor","Size","SeedMass1000.2016","SeedMass1000.2017","DTE_Ro16","DTE_Ro17","DTE_Su16","DTE_Su17","DTF_Ro16","DTF_Ro17","DTF_Su16","DTF_Su17","DTM_Ro16","DTM_Ro17","DTM_Su16","DTM_Su17","REP_Ro16","REP_Ro17","REP_Su16","REP_Su17","Pc_Ro16","Pc_Ro17","Pc_Su16","Pc_Su17","Tb_Ro16","Tb_Ro17","Tb_Su16","Tb_Su17"
39,"CN 106265 AGL","PGRC",1949,NA,NA,"Egypt","Africa",7,"Red/Yellow","M",35.1,32.3,8.3,8.7,15.7,11,49.7,48.7,55.3,57,100,NA,101,90,50.3,NA,45.7,32.5,5.9,6,6,6,-37.5,-39,-36,-37
40,"CN 108369 AGL","PGRC",1976,NA,NA,"Libya","Africa",7,"Yellow","L",50.6,56.2,8.7,9.7,14.3,12.7,50.7,49,53.7,54.5,98,NA,101.7,90,47.3,NA,48,37,5.2,5,5.3,6,-30.4,-31,-29.1,-30
41,"CN 108370 AGL","PGRC",1976,NA,NA,"Libya","Africa",8,"Yellow","S",19.8,22,9,10,14.3,13.3,52,50.7,56,58,100,NA,104,89,48,NA,48,32,5,5,5.2,5,-22.9,-24,-21.8,-23
42,"Crimson AGL","USDA",1991,46.73,-117.16,"USA","Americas",3,"Red","M",34.2,32.4,8.7,9.3,13,13.3,49,47,51.7,55.3,96,78.5,97,88.3,47,31.5,45.3,33,4.1,4,4.3,5,-23,-24,-22,-23
43,"DPL 62 AGL","ICARDA",NA,NA,NA,"India","Asia",2,"Red","L",42.3,39.7,8.7,9,13.7,12.7,45,41,45,42.7,93,76.7,93.7,84.5,48,35.7,48.7,41,4.6,5,4.8,5,-25.5,-26,-24.4,-25
44,"Eston AGL","USASK",1981,52.137,-106.622,"Canada","Americas",4,"Yellow","M",31,33.1,8,9.7,12.3,12,44.7,45,49.7,49,95,80,99.3,89.3,50.3,35,49.7,40.3,6.6,7,6.7,7,-38.2,-39,-36.5,-38
45,"Gudo AGL","ICARDA",NA,NA,NA,"Ethiopia","Africa",2,"Yellow","M",34.1,40.3,8.3,9.3,13.7,12,45,42.3,46.3,45.3,93.7,76.7,91.7,85,48.7,34.3,45.3,39.7,6.6,7,6.7,7,-67.9,-70,-65.2,-67
46,"IG 1046 AGL","ICARDA",1973,NA,NA,"Egypt","Africa",4,"Yellow","M",29.5,29.4,8.7,9.3,16.3,12.7,45.3,42.7,48,47.3,96.7,79,99,89,51.3,37,51,42,6.6,7,6.7,7,-30.8,-32,-29.3,-30
47,"IG 1706 AGL","ICARDA",NA,7.21667,38.55,"Ethiopia","Africa",6,"Red","S",22.2,19.5,8.7,9,15,13,44.3,43.3,45,46,97.7,80.3,95,89,53.3,37,50,43,7,7,7.1,7,-39.7,-41,-37.9,-39
48,"IG 1959 AGL","ICARDA",NA,NA,NA,"Ethiopia","Africa",4,"Yellow","M",31.2,31.5,8.3,8.7,13.7,12,44.3,43.7,47.3,47.3,92.7,76,90.7,85.7,48.3,32.3,43.3,38.3,6.5,6,6.6,7,-37,-38,-35.3,-36
49,"IG 4258 AGL","ICARDA",NA,NA,NA,"India","Asia",2,"Red","S",24.4,20.1,9.7,10,15.7,13.7,43.7,41.3,45,44.3,90.7,74.3,89.7,82.3,47,33,44.7,38,5.8,6,5.8,6,-40.3,-41,-38.6,-40
50,"IG 4781 AGL","ICARDA",NA,NA,NA,"Algeria","Africa",7,"Yellow","L",31.9,42,8.3,9.3,15,12.7,49.5,49.7,55,54.7,96,80,96,85,46.5,31,41,29,6.2,6,6.3,6,-37.9,-39,-36.3,-37
51,"IG 858 AGL","ICARDA",NA,36.3667,6.76667,"Algeria","Africa",4,"Yellow","S",28.8,26.4,9,9,14.3,10.7,45,44.7,48.3,48,97.3,77.3,93.7,88,52.3,32.7,45.3,40,6.6,7,6.7,7,-34.9,-36,-33.3,-34
52,"ILL 10657 AGL","ICARDA",2004,NA,NA,"Turkey","Asia",2,"Red","L",43.1,43.4,8.7,9.3,11.7,13.3,43.3,41.3,43.3,44.3,90.3,74.3,93.3,83,47,33,50,38.7,5.1,5,5.2,5,-30.6,-31,-29.3,-30
53,"ILL 10748 AGL","ICARDA",NA,NA,NA,"ICARDA","Other",1,"Yellow","XL",52.8,55.2,8.3,9.3,12.3,12.3,46,46,48.3,48,90.7,82,93,87.3,44.7,37,44.7,38,1.6,2,1.9,2,-14.9,-15,-14.3,-15
54,"ILL 11547 AGL","ICARDA",NA,NA,NA,"Ethiopia","Africa",1,"Red/Yellow","M",35.2,35.8,8.7,9.3,15,11.7,44.5,42.3,44.3,43.3,95.3,75,96.7,84.7,52.5,32.7,52.3,41.3,4,4,4.1,4,-21.5,-22,-20.6,-21
55,"ILL 11548 AGL","ICARDA",NA,NA,NA,"Ethiopia","Africa",1,"Yellow","M",28,27.2,8.7,9.3,15,13.7,43,39.7,46.3,44.3,91.3,76.3,95.3,85.3,48.3,36.7,49,41,3.9,4,4.1,4,-17.1,-18,-16.2,-17
56,"ILL 11553 AGL","ICARDA",NA,NA,NA,"India","Asia",2,"Red","M",32.5,31.1,8.3,10,14.3,14.7,44.7,42.3,45.3,45.7,89,75,90.7,83.7,44.3,32.7,45.3,38,5,5,5.1,5,-32.3,-33,-31,-32
57,"ILL 11555 AGL","ICARDA",NA,NA,NA,"India","Asia",1,"Red/Yellow","M",41.1,41.5,8.3,9.7,13,13.3,43.7,42,44.3,44,91.3,78.7,91.3,85.3,47.7,36.7,47,41.3,3.8,4,4,4,-19.7,-20,-18.9,-19
58,"ILL 11557 AGL","ICARDA",NA,NA,NA,"India","Asia",1,"Yellow","L",42,45.3,8.3,9.7,16.3,12.7,44,41,45.3,45,90.3,77.3,93,82,46.3,36.3,47.7,37,3.5,3,3.7,4,-17,-17,-16.2,-17
59,"ILL 11558 AGL","ICARDA",NA,NA,NA,"India","Asia",1,"Red","M",31.2,34.8,8.3,9.3,15,12.3,44,40,44,43.3,94.3,80,94.3,82,50.3,40,50.3,39.5,4,4,4.2,5,-19.2,-20,-18.3,-19
60,"ILL 1220 AGL","ICARDA",1973,NA,NA,"Iran","Asia",4,"Yellow","M",36.2,41.7,8,9.3,12.3,12.7,46,42.7,48,47,98,79,96,90,52,37,48,43,6.5,6,6.6,7,-32.4,-33,-30.9,-32
61,"ILL 1553 AGL","ICARDA",NA,NA,NA,"Iran","Asia",4,"Yellow","L",43.1,42.3,8.7,8.3,13,12.3,44.7,41.3,45.7,46.7,93,80,93,87.3,48.3,38.7,47.3,40.7,6.2,6,6.4,7,-28.3,-29,-26.9,-28
62,"ILL 1762 AGL","ICARDA",NA,NA,NA,"Afghanistan","Asia",6,"Red","S",22.1,21.6,8.7,9.7,11.7,13,45,46.7,49,51.7,94,80.7,92.3,87.7,49,34,43.3,36,7,7,7,7,-57.2,-59,-54.8,-56
63,"ILL 1983 AGL","ICARDA",NA,NA,NA,"Ethiopia","Africa",2,"Red","S",27.9,22.7,9,10.3,15.7,13.7,44.3,43,47.7,47,93.3,76,92.3,84.3,49,33,44.7,37.3,6,6,6.1,6,-44.6,-46,-42.8,-44
64,"ILL 213 AGL","ICARDA",1953,NA,NA,"Afghanistan","Asia",5,"Red","S",23.2,21.5,8.7,9.3,13.7,13.3,44,41.3,46.3,45,89.7,75,91.7,84,45.7,33.7,45.3,38.5,7,7,7.1,7,-53.8,-55,-51.5,-53
65,"ILL 2194 AGL","ICARDA",1960,NA,NA,"Pakistan","Asia",5,"Yellow","M",41.7,40.7,8,8.7,13.7,12,44,41,49.3,48.3,89.7,79.3,91.7,88,45.7,38.3,42.3,39,7.2,7,7.2,7,-82.2,-84,-78.9,-81
66,"PI 431893 LSP AGL","USDA",1979,NA,NA,"Iran","Asia",3,"Red","M",31.6,29.3,8.7,9.3,13,13.7,45.3,44.7,50,50,94.3,78,98,87.3,49,33.3,48,36,4.8,5,4.9,5,-16,-17,-15.1,-16
67,"ILL 2507 AGL","ICARDA",NA,NA,NA,"India","Asia",2,"Red","S",24.7,24.3,9,10.3,15,14,44,41.7,46.7,44.3,90,73.7,91,82,46,32,44.3,37.7,5.1,5,5.3,5,-33.8,-35,-32.4,-33
68,"ILL 2580 AGL","ICARDA",NA,NA,NA,"India","Asia",2,"Red","M",30,28.6,9,9,13.7,14,46.3,39.7,45.3,43.3,90.7,74.3,89.3,82.7,44.3,34.7,44,39.3,6.5,6,6.6,7,-49,-50,-47,-48
69,"ILL 28 AGL","ICARDA",NA,NA,NA,"Syria","Asia",5,"Yellow","XL",66.3,68.6,8.3,9,14.3,11.3,45,44,49.7,47,96,80.7,94.7,89.3,51,36.7,45,42.3,6.9,7,6.9,7,-71.5,-73,-68.6,-71
70,"ILL 3025 AGL","ICARDA",NA,NA,NA,"India","Asia",2,"Red","S",25.4,23.5,9.3,9.7,16.3,14.3,44,40,46,44.7,89.7,74,92.7,82.7,45.7,34,46.7,38,5.9,6,6,6,-43.9,-45,-42.1,-43
71,"ILL 313 AGL","ICARDA",1962,NA,NA,"Israel","Asia",5,"Yellow","M",31.8,30.7,8,9.3,12.3,11.7,45.3,44.7,48.3,47,93.7,80.7,93,88,48.3,36,44.7,41,7,7,7,7,-58.6,-60,-56.1,-58
72,"ILL 3347 AGL","ICARDA",NA,NA,NA,"India","Asia",2,"Red","M",26,22.4,9.3,10,14.3,12.7,45.3,42,45,44.7,89.3,74.7,90,81,44,32.7,45,36.3,5.4,5,5.5,6,-35.5,-37,-34.1,-35
73,"ILL 358 AGL","ICARDA",1972,NA,NA,"Ethiopia","Africa",5,"Red","M",37.8,37.8,8,9.3,13,12.3,44.3,43.3,47,46.3,91.3,78.7,95,87.3,47,35.3,48,41,6.7,7,6.8,7,-55.7,-57,-53.4,-55
74,"ILL 3597 AGL","ICARDA",NA,NA,NA,"India","Asia",2,"Red","S",24.7,21.6,8.7,10,16.3,13.3,44,39,46.3,44.7,91.3,74,89.7,80.5,47.3,35,43.3,37.5,6.5,6,6.6,7,-53.2,-55,-51,-52
75,"ILL 4164 AGL","ICARDA",NA,NA,NA,"India","Asia",5,"Red","M",38.4,36.8,8.3,10,13.7,15.3,44.7,42.3,47.3,48.3,92,75,93,82.3,47.3,32.7,45.7,34,6.9,7,6.9,7,-84,-86,-80.7,-83
76,"ILL 4400 AGL","ICARDA",NA,NA,NA,"Syria","Asia",5,"Yellow","L",58.9,55.9,8,9.3,13,12,47.3,46.3,48.7,52,93.7,80.7,95.7,89.3,46.3,34.3,47,37.3,6.6,7,6.6,7,-52.2,-54,-50,-51
77,"ILL 4605 AGL","ICARDA",1979,NA,NA,"Argentina","Americas",1,"Yellow","L",53.1,48.2,8.3,9,13.7,13.7,46,45.3,47.3,47.3,93,79.7,94,88.7,47,34.3,46.7,41.3,1.9,2,2.1,3,-14.6,-15,-14,-14
78,"ILL 4609 AGL","ICARDA",NA,NA,NA,"Netherlands","Europe",5,"Red","S",21.2,21.4,9.3,10.3,17,15,45,45,49,47,93,80.7,96.3,86.7,48,35.7,47.3,39.7,7.1,7,7.1,7,-73,-75,-70,-72
79,"ILL 4665 AGL","ICARDA",NA,NA,NA,"Hungary","Europe",3,"Yellow","XL",53.5,55.3,8,8.3,11.7,11.7,49,45.7,49.3,53.3,97.3,81,97.3,89,48.3,35.3,48,36,6.1,6,6.2,6,-40.9,-42,-39.1,-40
80,"ILL 4671 AGL","ICARDA",NA,46.73,-117.16,"USA","Americas",7,"Yellow","L",54.4,56.7,8.3,9.3,13.7,12,48.7,46.7,52,50.7,96,81.3,96.3,90,47.3,34.7,44.3,39,6.4,6,6.5,7,-56.7,-58,-54.4,-56
81,"ILL 4768 AGL","ICARDA",NA,NA,NA,"Yemen","Asia",2,"Red","S",34,29.9,9.3,8.7,14.3,13,43.7,38,44.3,42.7,88.3,72.7,89.7,80,44.7,34.7,45.3,37.3,5.9,6,6,6,-41,-42,-39.3,-40
82,"ILL 4782 AGL","ICARDA",NA,NA,NA,"Unknown","Other",2,"Red","M",38.4,33.3,8.3,9.3,16.3,12.3,42,38.3,45,41.3,88.3,72.7,91.7,81.3,46.5,34.3,46.7,40,5.9,6,6,6,-37.2,-38,-35.6,-37
83,"ILL 4783 AGL","ICARDA",NA,NA,NA,"Czech Republic","Europe",7,"Yellow","XL",55.6,54.8,8,8,12.3,11.7,49.3,47.7,54,56,98,82,99,NA,48.7,34,45,NA,6.2,6,6.3,7,-38.7,-40,-37,-38
84,"ILL 4804 AGL","ICARDA",NA,NA,NA,"Libya","Africa",5,"Red","M",29.2,28.4,8.7,10,15,12,43.7,44.3,47.7,46,91.3,77.7,94,84,47.7,33.3,46.3,36,6.8,7,6.9,7,-60.1,-62,-57.6,-59
85,"ILL 4875 AGL","ICARDA",NA,NA,NA,"Uzbekistan","Asia",8,"Red","S",22.1,19.9,8.7,9.3,17,14,50.7,49.7,55.7,56.7,94.7,80,97,89,44,31,41.3,32.3,6.1,6,6.2,6,-33,-34,-31.5,-32
86,"ILL 4956 AGL","ICARDA",NA,NA,NA,"Portugal","Europe",7,"Yellow","L",30.4,36.4,8.3,9.3,13.7,12,48.7,46,52.3,53.7,97.3,82,101,NA,48.7,36,48.7,NA,6.1,6,6.2,6,-31.5,-32,-30,-31
87,"ILL 5058 AGL","ICARDA",NA,NA,NA,"Spain","Europe",7,"Yellow","XL",69.7,55.4,8.7,10,13.7,14.3,51.7,51.3,55.3,54.7,98,NA,97.3,90,46.3,NA,42,34,6.4,6,6.5,7,-52,-53,-49.9,-51
88,"ILL 5151 AGL","ICARDA",NA,NA,NA,"India","Asia",5,"Red","M",32.5,33.2,8.7,9.7,15.7,13.7,45.3,44.7,49,48,92,77.3,91,83.3,46.7,32.7,42,35.3,6.7,7,6.8,7,-76.7,-79,-73.7,-76
89,"ILL 5209 AGL","ICARDA",1980,NA,NA,"Jordan","Asia",5,"Yellow","M",39.4,37.6,9,9.3,15,12.3,44.7,44.3,47.7,47.7,93.3,75.7,92.3,86.7,48.7,31.3,44.7,39,6.7,7,6.8,7,-79,-81,-75.9,-78
90,"ILL 5480 AGL","ICARDA",1983,NA,NA,"Czech Republic","Europe",7,"Yellow","L",34.5,38.8,8.7,9,15,13,49.3,48,54.3,55,98,82,104.3,NA,48.7,34,50,NA,5.8,6,6,6,-30.9,-32,-29.5,-30
91,"ILL 5639 AGL","ICARDA",1950,NA,NA,"Ethiopia","Africa",4,"Yellow","M",32.6,30.9,9,9.7,14.3,13,45.7,45.3,47.3,47,93,80,93.3,87.7,48.5,35,46,39.5,6.3,6,6.4,7,-40.8,-42,-39.1,-40
92,"ILL 5722 AGL","ICARDA",1984,NA,NA,"Turkey","Asia",2,"Red","L",47.1,46.6,8.7,9,13.7,14,45,39.3,43.7,44.3,94,81,93.3,84.7,49,41.7,49.7,40.3,5.1,5,5.3,6,-16.7,-17,-15.8,-16
93,"ILL 5883 AGL","ICARDA",1984,NA,NA,"Jordan","Asia",5,"Red","L",38.6,49.9,8,9.3,13,12,44,43.3,48,46.3,90.7,76,90.3,82.7,46.7,32.7,42.3,36.3,6.8,7,6.9,7,-68.3,-70,-65.6,-67
94,"ILL 5888 AGL","ICARDA",1984,NA,NA,"Bangladesh","Asia",1,"Red","M",31.2,32.3,9.7,9.3,15,14,42.7,38,44.3,41,90,74.3,91,83,47.3,36.3,46.7,41,-11,-11,-10.2,-9,0,0,0.2,0
95,"ILL 5945 AGL","ICARDA",1979,NA,NA,"Ethiopia","Africa",2,"Red","M",28.1,30.2,8.3,9.3,13.7,10.3,44.7,39,45,41.3,88,71.7,90,80.3,43.3,32.7,45,39,5.4,5,5.5,6,-35.6,-37,-34.2,-35
96,"ILL 6002 AGL","ICARDA",2006,NA,NA,"ICARDA","Other",1,"Yellow","L",44.5,46.5,8,9.3,11.7,11.7,43.3,45,47,47,93,82,95.7,87.5,49.7,37,48.7,41,1.8,2,2,2,-14.5,-15,-13.8,-14
97,"ILL 618 AGL","ICARDA",1950,NA,NA,"Tajikistan","Asia",4,"Red","S",26.1,25.4,8.3,9,17,11.7,44.7,43.3,47.3,46.7,95.7,78.7,94.7,87,51,35.3,47.3,40.3,6.4,6,6.5,7,-30.7,-32,-29.3,-30
98,"ILL 6182 AGL","ICARDA",NA,NA,NA,"Tunisia","Africa",5,"Red","S",28.7,22.5,9,9.3,16.3,14,44.3,43.7,49,47.3,94,80.7,95,87,49.7,37,46,40,6.5,6,6.5,7,-64.4,-66,-61.9,-64
99,"ILL 6211 AGL","ICARDA",NA,NA,NA,"ICARDA","Other",1,"Yellow","L",43.8,45.7,9,9,15,12.3,46.3,45.7,49.3,46.5,96.7,80,95.3,90,50.3,34.5,46,43.5,2.1,2,2.3,3,-16.7,-17,-15.9,-16
100,"ILL 624 AGL","ICARDA",1970,NA,NA,"Macedonia","Europe",7,"Yellow","M",27.2,23.9,8.3,9.3,14.3,12.3,47.7,46.3,51.3,51.3,96.7,82,94.7,89.5,49,35.7,43.3,38,6.3,6,6.4,7,-37.2,-38,-35.6,-37
